Date,Price,Open,High,Low,Vol.,Change %
"Aug 13, 2021","34,55,044","33,00,838","34,67,034","32,88,482",-,4.72%
"Aug 12, 2021","32,99,423","33,73,739","34,29,384","32,58,389",-,-2.25%
"Aug 11, 2021","33,75,325","33,92,836","34,70,027","33,75,325",-,-0.53%
"Aug 10, 2021","33,93,169","34,48,303","34,74,923","33,29,552",-,-1.73%
"Aug 09, 2021","34,52,790","32,52,782","34,59,893","31,78,803",-,6.21%
"Aug 08, 2021","32,51,059","33,07,729","33,60,053","32,14,407",-,-1.71%
"Aug 07, 2021","33,07,456","31,74,358","33,16,014","31,55,744",-,4.12%
"Aug 06, 2021","31,76,520","30,27,221","32,17,097","29,59,525",-,4.95%
"Aug 05, 2021","30,26,789","29,48,261","30,63,496","27,74,897",-,2.66%
"Aug 04, 2021","29,48,335","28,35,717","29,65,058","27,87,838",-,4.18%
"Aug 03, 2021","28,30,121","29,09,072","29,56,381","27,96,850",-,-2.81%
"Aug 02, 2021","29,12,071","29,62,657","30,08,843","28,78,651",-,-1.99%
"Aug 01, 2021","29,71,047","30,82,417","31,64,549","29,39,884",-,-3.72%
"Jul 31, 2021","30,85,944","31,36,815","31,36,870","30,52,494",-,-1.77%
"Jul 30, 2021","31,41,539","29,74,010","31,41,539","28,53,995",-,5.82%
"Jul 29, 2021","29,68,835","29,73,587","30,18,524","29,26,398",-,-0.25%
"Jul 28, 2021","29,76,345","29,38,791","30,35,807","28,95,186",-,1.30%
"Jul 27, 2021","29,38,017","27,70,404","29,38,017","27,07,873",-,5.95%
"Jul 26, 2021","27,73,056","26,34,642","30,09,035","26,24,276",-,5.36%
"Jul 25, 2021","26,31,931","25,60,727","26,33,280","25,22,349",-,4.55%
"Jul 24, 2021","25,17,402","25,01,100","25,25,723","24,87,341",-,0.74%
"Jul 23, 2021","24,98,913","24,04,464","24,98,913","23,85,184",-,3.92%
"Jul 22, 2021","24,04,607","23,92,569","24,19,058","23,63,136",-,0.59%
"Jul 21, 2021","23,90,425","22,21,538","24,42,516","22,01,189",-,7.66%
"Jul 20, 2021","22,20,419","23,08,288","23,23,148","21,86,212",-,-3.72%
"Jul 19, 2021","23,06,247","23,70,360","23,84,416","22,88,144",-,-2.71%
"Jul 18, 2021","23,70,535","23,50,215","24,17,358","23,29,913",-,0.88%
"Jul 17, 2021","23,49,843","23,41,226","23,81,114","23,28,121",-,0.26%
"Jul 16, 2021","23,43,821","23,73,076","24,05,273","23,18,171",-,-1.01%
"Jul 15, 2021","23,67,618","24,44,272","24,70,551","23,24,577",-,-3.12%
"Jul 14, 2021","24,43,825","24,43,382","24,63,071","23,58,974",-,0.09%
"Jul 13, 2021","24,41,624","24,67,012","24,81,284","24,07,316",-,-1.17%
"Jul 12, 2021","24,70,421","25,51,031","25,78,866","24,35,881",-,-3.09%
"Jul 11, 2021","25,49,301","24,96,227","25,75,609","24,81,801",-,2.15%
"Jul 10, 2021","24,95,612","25,17,546","25,49,116","24,63,447",-,-0.96%
"Jul 09, 2021","25,19,692","24,55,820","25,39,847","24,14,296",-,2.60%
"Jul 08, 2021","24,55,820","25,26,745","25,35,278","24,04,767",-,-3.03%
"Jul 07, 2021","25,32,458","25,58,653","26,15,574","25,29,019",-,-1.02%
"Jul 06, 2021","25,58,491","25,03,318","26,12,127","25,02,259",-,2.23%
"Jul 05, 2021","25,02,714","26,25,760","26,25,760","24,66,767",-,-4.88%
"Jul 04, 2021","26,31,093","25,88,939","26,79,860","25,88,939",-,1.63%
"Jul 03, 2021","25,88,939","25,19,865","25,98,887","24,86,402",-,2.68%
"Jul 02, 2021","25,21,421","24,97,125","25,29,241","24,46,267",-,0.92%
"Jul 01, 2021","24,98,375","26,04,800","26,04,800","24,49,246",-,-4.11%
"Jun 30, 2021","26,05,588","26,66,037","26,81,412","25,33,149",-,-2.22%
"Jun 29, 2021","26,64,759","25,60,698","27,18,866","25,42,928",-,4.21%
"Jun 28, 2021","25,57,036","25,72,773","26,14,246","25,21,043",-,-0.47%
"Jun 27, 2021","25,69,005","23,91,126","25,71,526","23,78,128",-,7.72%
"Jun 26, 2021","23,84,783","23,45,021","24,23,282","22,42,323",-,1.61%
"Jun 25, 2021","23,46,951","25,71,516","26,31,267","23,26,827",-,-8.77%
"Jun 24, 2021","25,72,436","24,92,594","26,14,066","24,00,616",-,3.12%
"Jun 23, 2021","24,94,511","24,15,307","25,76,479","23,58,532",-,3.37%
"Jun 22, 2021","24,13,293","23,50,989","24,68,147","21,46,074",-,2.63%
"Jun 21, 2021","23,51,400","26,38,577","26,45,832","23,18,925",-,-11.02%
"Jun 20, 2021","26,42,638","26,31,644","26,75,525","24,73,328",-,0.26%
"Jun 19, 2021","26,35,807","26,49,595","26,94,639","25,82,747",-,-0.46%
"Jun 18, 2021","26,48,011","28,25,658","28,31,283","26,07,925",-,-6.18%
"Jun 17, 2021","28,22,293","28,08,880","29,28,258","27,78,494",-,0.48%
"Jun 16, 2021","28,08,885","29,44,307","29,71,643","27,96,284",-,-4.63%
"Jun 15, 2021","29,45,278","29,65,317","30,31,029","29,04,349",-,-0.71%
"Jun 14, 2021","29,66,356","28,58,240","29,99,071","28,39,524",-,3.55%
"Jun 13, 2021","28,64,636","25,97,816","28,79,482","25,50,906",-,10.15%
"Jun 12, 2021","26,00,598","27,32,686","27,41,991","25,43,260",-,-4.80%
"Jun 11, 2021","27,31,845","26,82,922","27,50,145","26,29,189",-,2.02%
"Jun 10, 2021","26,77,750","27,28,036","28,01,883","26,17,811",-,-1.67%
"Jun 09, 2021","27,23,199","24,34,862","27,38,179","23,65,494",-,11.66%
"Jun 08, 2021","24,38,934","24,39,461","24,79,373","22,73,192",-,-0.24%
"Jun 07, 2021","24,44,694","26,07,059","26,77,959","24,32,070",-,-6.38%
"Jun 06, 2021","26,11,294","25,87,788","26,54,521","25,69,359",-,0.88%
"Jun 05, 2021","25,88,446","26,84,177","27,60,626","25,38,871",-,-3.60%
"Jun 04, 2021","26,84,975","28,67,120","28,67,120","26,02,094",-,-6.18%
"Jun 03, 2021","28,61,723","27,39,907","28,75,858","27,13,081",-,4.47%
